52.323499167,17.668127
52.323523,17.667996
52.323545833,17.667861333
52.323568,17.667727
52.3235885,17.667602167
52.323608167,17.667490167
52.323628333,17.66739
52.323651167,17.667302
52.323687667,17.667228167
52.3237335,17.667184333
52.323790833,17.667170333
52.3238505,17.667190667
52.323911167,17.667227833
52.323975833,17.667262167
52.324039333,17.667270833
52.324106,17.667241
52.3241675,17.667187833
52.324228167,17.667108
52.3242815,17.667012667
52.324328167,17.666914333
52.324366333,17.666824333
52.324394333,17.666752333
52.324407667,17.666685
52.324407833,17.666627833
52.324389,17.666573167
52.324352667,17.6665245
52.324306833,17.666474
52.324255833,17.666412333
52.324201667,17.666350833
52.324145,17.666283833
52.3240835,17.666213833
52.324019,17.666138833
52.323954833,17.666059333
52.323888,17.665981167
52.323828333,17.665906333
52.323780833,17.665842667
52.323737833,17.665806167
52.323694667,17.665797833
52.323647333,17.665826833
52.323605,17.665885333
52.323564,17.665964667
52.323518167,17.666054167
52.323473167,17.666151833
52.323432667,17.6662545
52.323395833,17.666362833
52.323362333,17.666481667
52.323330833,17.666607833
52.323303,17.666732833
52.323277,17.666856167
52.323255333,17.666982
52.323237667,17.667102333
52.323218333,17.667227167
52.323199333,17.667355
52.3231805,17.667484167
52.323161,17.6676155
52.323140833,17.667748833
52.323121167,17.667884333
52.323104333,17.66802
52.3230865,17.668158667
52.323068667,17.668299
52.323048667,17.668439167
52.323026667,17.668578833
52.323002167,17.668717
52.322977,17.668857167
52.322954167,17.668994667
52.322934333,17.669128167
52.322915667,17.669252667
52.322896833,17.669366
52.322879167,17.669462333
52.322866333,17.669533667
52.322860333,17.669573333
52.3228575,17.669601333
52.322864333,17.669646
52.322885167,17.669696167
52.3229215,17.6697225
52.322966833,17.6697475
52.323023167,17.669775667
52.323076833,17.6698135
52.323121667,17.669843833
52.323156833,17.6698565
52.323189833,17.66984
52.3232105,17.669800667
52.3232245,17.669740833
52.3232385,17.669653
52.323255167,17.669550333
52.323274667,17.669433167
52.323295833,17.669312833
52.323318333,17.669187833
52.323342,17.6690525
52.323364833,17.668907333
52.323389667,17.668752833
52.3234175,17.6685945
52.323440833,17.6684365
52.323469,17.668277333
